Position,Number,Name,Pos_in_swim,Swim_time,T1,Pos_in_bike,Bike_time,T2,Pos_in_run,Run_time,Race_control,Time,Rank,Category
29.,26,MERLE Audrey,11,19:03,1:28,53,1:22:40,1:03,26,25:45,Finish,2:10:01,1/10,ELF
42.,25,CORNELISSE Eva,32,20:10,1:32,64,1:24:20,56,67,28:04,Finish,2:15:05,2/10,ELF
57.,20,MERLE Célia,21,19:26,1:37,122,1:29:22,1:07,69,28:06,Finish,2:19:40,3/10,ELF
59.,1195,CORNET Fiona,92,23:31,1:51,70,1:25:06,1:13,74,28:14,Finish,2:19:58,4/10,ELF
62.,184,DUPONT Jeanne,324,27:27,2:36,59,1:23:49,54,27,25:49,Finish,2:20:36,5/10,ELF
105.,21,JOLIVET Lucie,59,22:02,1:47,188,1:33:56,1:22,110,29:11,Finish,2:28:19,6/10,ELF
110.,1119,BELDMAN-BORGERINK Mariel,64,22:05,2:20,138,1:31:04,1:19,292,32:47,Finish,2:29:37,1/81,F30-34
125.,194,FOLTZ Appoline,12,19:13,1:31,277,1:38:17,56,188,31:14,Finish,2:31:13,7/10,ELF
132.,1643,SANCHEZ AYMERICH Ivette,46,21:14,2:40,197,1:34:29,1:02,259,32:22,Finish,2:31:50,1/8,F18-19
135.,565,AUSSET Laurie,205,25:41,3:32,155,1:31:52,1:24,127,29:45,Finish,2:32:16,1/51,F35-39
143.,825,VALETTE Marine,120,24:20,2:25,257,1:37:26,1:20,76,28:18,Finish,2:33:51,2/8,F18-19
144.,83,FARDEAU Maëlys,48,21:30,1:50,248,1:37:06,1:02,270,32:29,Finish,2:34:00,1/26,F20-24
147.,1649,SCHMIDT Valérie,173,25:14,2:30,164,1:32:45,1:05,286,32:41,Finish,2:34:16,1/40,F40-44
148.,101,SARRADIN Sibyle,73,23:02,2:06,290,1:38:49,58,119,29:32,Finish,2:34:29,2/26,F20-24
151.,67,CHRISTIAEN Typhaine,215,25:46,1:58,198,1:34:30,1:27,167,30:50,Finish,2:34:33,1/93,F25-29
155.,275,DEWILDE Charlotte,219,25:53,2:40,212,1:35:05,1:47,122,29:37,Finish,2:35:05,2/93,F25-29
172.,128,PIOCHE Clémentine,294,26:50,2:01,231,1:36:17,1:00,164,30:43,Finish,2:36:53,2/81,F30-34
187.,240,VAN DER SCHOEPEN Anneleen,555,29:42,2:41,219,1:35:30,1:46,89,28:39,Finish,2:38:19,3/93,F25-29
193.,23,LEURS Zoé,109,23:57,2:12,312,1:39:36,1:08,230,31:58,Finish,2:38:52,8/10,ELF
196.,1000,UEBELHART Jacqueline,212,25:43,2:52,206,1:34:47,1:17,401,34:20,Finish,2:39:02,1/52,F45-49
215.,1124,EELKEMA Ingrid,54,21:50,1:44,398,1:43:51,1:03,228,31:57,Finish,2:40:28,2/40,F40-44
